FINALT1: failed (1%)
clock N reset start valid displayout done clockcount
0 4 0 0 0 0 0 0
1 4 0 0 0 0 0 0
0 4 1 0 0 0 0 0
1 4 1 0 0 0 0 0
0 4 0 1 0 0 0 0
1 4 0 1 0 0 0 1
0 4 0 1 0 0 0 1
0 4 0 1 0 0 0 2
0 4 0 1 0 0 0 3
0 4 0 1 0 0 0 4
0 4 0 1 0 0 0 5
0 4 0 1 0 0 0 6
0 4 0 1 0 0 0 7
0 4 0 1 0 0 0 8
0 4 0 1 1 1 0 9
0 4 0 1 1 2 0 A
0 4 0 1 1 3 0 B
0 4 0 1 1 4 0 C
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
0 4 0 1 0 0 1 D
